measuredElement,measuredItemCPC,geographicAreaM49,timePointYears,Value,flagObservationStatus,flagMethod
Production (t) (5510),Maize (corn) (0112),France (250),1990,9400500,"",-
Production (t) (5510),Maize (corn) (0112),France (250),1991,12796831.1,"",p
Production (t) (5510),Maize (corn) (0112),France (250),1992,14822656.5,"",p
Production (t) (5510),Maize (corn) (0112),France (250),1993,14726034.7,"",p
Production (t) (5510),Maize (corn) (0112),France (250),1994,12816279.4,"",p
Production (t) (5510),Maize (corn) (0112),France (250),1995,12583865.9,"",p
Production (t) (5510),Maize (corn) (0112),France (250),1996,14318927.9,"",p
Production (t) (5510),Maize (corn) (0112),France (250),1997,16534987.8,"",p
Production (t) (5510),Maize (corn) (0112),France (250),1998,14885495.1,"",p
Production (t) (5510),Maize (corn) (0112),France (250),1999,15354734.8,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2000,16018168.3,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2001,16420734.7,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2002,16418382.6,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2003,12045463.6,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2004,16375868,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2005,13689322.4,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2006,12903718.5,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2007,14505519.1,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2008,16037987.9,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2009,15513841.1,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2010,13975284.8,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2011,15914121.2,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2012,15393496.8,"",p
Production (t) (5510),Maize (corn) (0112),France (250),2013,15041226,"",q
Production (t) (5510),Maize (corn) (0112),France (250),2014,18343320,"",q
Production (t) (5510),Maize (corn) (0112),France (250),2015,13716048.4,"",q
Production (t) (5510),Maize (corn) (0112),France (250),2016,11839729,"",q
Production (t) (5510),Maize (corn) (0112),France (250),2017,14534897,"",q
Production (t) (5510),Maize (corn) (0112),France (250),2018,12580430,"",h
Production (t) (5510),Maize (corn) (0112),France (250),2019,12845020,"",h
Production (t) (5510),Maize (corn) (0112),France (250),2020,13726410,"",h
Production (t) (5510),Maize (corn) (0112),France (250),2021,15358290,"",h
Production (t) (5510),Maize (corn) (0112),France (250),2022,10877190,"",h
Production (t) (5510),Maize (corn) (0112),France (250),2023,12834600,"",h
Production (t) (5510),Maize (corn) (0112),Italy (380),1990,5863900,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),1991,6237700,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),1992,7394134,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),1993,8028900,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),1994,7483400,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),1995,8440300,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),1996,9547500,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),1997,10004698,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),1998,9030860,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),1999,10017200,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),2000,10137500,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),2001,10553706,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),2002,10554422,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),2003,8702288,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),2004,11368007,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),2005,10427930,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),2006,9671206,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),2007,9809266,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),2008,9491203,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),2009,7877700,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),2010,8495940,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),2011,9752592,"",-
Production (t) (5510),Maize (corn) (0112),Italy (380),2012,7860123.3,"",q
Production (t) (5510),Maize (corn) (0112),Italy (380),2013,7899616.5,"",q
Production (t) (5510),Maize (corn) (0112),Italy (380),2014,9239544.9,"",q
Production (t) (5510),Maize (corn) (0112),Italy (380),2015,7073896,"",q
Production (t) (5510),Maize (corn) (0112),Italy (380),2016,6839499.2,"",q
Production (t) (5510),Maize (corn) (0112),Italy (380),2017,6048499,"",q
Production (t) (5510),Maize (corn) (0112),Italy (380),2018,6199150,"",h
Production (t) (5510),Maize (corn) (0112),Italy (380),2019,6279120,"",h
Production (t) (5510),Maize (corn) (0112),Italy (380),2020,6793130,"",h
Production (t) (5510),Maize (corn) (0112),Italy (380),2021,6079960,"",h
Production (t) (5510),Maize (corn) (0112),Italy (380),2022,4697170,"",h
Production (t) (5510),Maize (corn) (0112),Italy (380),2023,5348700,"",h
Production (t) (5510),Lettuce and chicory (01214),France (250),1990,485860,"",-
Production (t) (5510),Lettuce and chicory (01214),France (250),1991,482726.6,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),1992,493045.8,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),1993,507517.5,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),1994,523747,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),1995,503787.8,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),1996,493445.4,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),1997,477735.7,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),1998,484982.3,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),1999,489592.1,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),2000,508875.9,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),2001,493953.5,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),2002,487974.8,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),2003,459681.5,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),2004,455757.8,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),2005,469991.4,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),2006,465353,"",-
Production (t) (5510),Lettuce and chicory (01214),France (250),2007,462224.2,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),2008,426723,"",-
Production (t) (5510),Lettuce and chicory (01214),France (250),2009,421264.1,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),2010,327801.9,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),2011,315237.1,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),2012,326756.1,"",p
Production (t) (5510),Lettuce and chicory (01214),France (250),2013,307248,"",q
Production (t) (5510),Lettuce and chicory (01214),France (250),2014,238029,"",q
Production (t) (5510),Lettuce and chicory (01214),France (250),2015,231364,"",q
Production (t) (5510),Lettuce and chicory (01214),France (250),2016,228556.1,"",q
Production (t) (5510),Lettuce and chicory (01214),France (250),2017,220536.8,"",q
Production (t) (5510),Lettuce and chicory (01214),France (250),2018,733600,"",h
Production (t) (5510),Lettuce and chicory (01214),France (250),2019,469340,"",h
Production (t) (5510),Lettuce and chicory (01214),France (250),2020,492300,"",h
Production (t) (5510),Lettuce and chicory (01214),France (250),2021,493310,"",h
Production (t) (5510),Lettuce and chicory (01214),France (250),2022,438740,"",h
Production (t) (5510),Lettuce and chicory (01214),France (250),2023,401200,"",h
Production (t) (5510),Lettuce and chicory (01214),Italy (380),1990,910621,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),1991,917762,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),1992,902985,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),1993,941533,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),1994,950949,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),1995,906235,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),1996,830100,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),1997,918768,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),1998,975353,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),1999,937650,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2000,968833,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2001,925189,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2002,916208,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2003,921770,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2004,995920,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2005,1010470,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2006,977900,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2007,949400,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2008,916200,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2009,844976,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2010,843344,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2011,819194,"",-
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2012,688715.3,"",q
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2013,730199.4,"",q
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2014,709372.8,"",q
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2015,626525.3,"",q
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2016,735966.5,"",q
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2017,735873,"",q
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2018,768060,"",h
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2019,758980,"",h
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2020,735470,"",h
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2021,703910,"",h
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2022,638180,"",h
Production (t) (5510),Lettuce and chicory (01214),Italy (380),2023,660270,"",h
Production (t) (5510),Watermelons (01221),France (250),1990,14202,"",-
Production (t) (5510),Watermelons (01221),France (250),1991,22589.5,"",p
Production (t) (5510),Watermelons (01221),France (250),1992,16728.5,"",p
Production (t) (5510),Watermelons (01221),France (250),1993,10786,"",p
Production (t) (5510),Watermelons (01221),France (250),1994,9525.9,"",p
Production (t) (5510),Watermelons (01221),France (250),1995,8926.4,"",p
Production (t) (5510),Watermelons (01221),France (250),1996,10149.5,"",p
Production (t) (5510),Watermelons (01221),France (250),1997,8307.5,"",p
Production (t) (5510),Watermelons (01221),France (250),1998,8501.2,"",p
Production (t) (5510),Watermelons (01221),France (250),1999,8467.3,"",p
Production (t) (5510),Watermelons (01221),France (250),2000,7010,"",-
Production (t) (5510),Watermelons (01221),France (250),2001,6450.1,"",p
Production (t) (5510),Watermelons (01221),France (250),2002,7072,"",-
Production (t) (5510),Watermelons (01221),France (250),2003,6597.8,"",p
Production (t) (5510),Watermelons (01221),France (250),2004,6488,"",-
Production (t) (5510),Watermelons (01221),France (250),2005,7324,"",-
Production (t) (5510),Watermelons (01221),France (250),2006,7444,"",-
Production (t) (5510),Watermelons (01221),France (250),2007,15634.5,"",p
Production (t) (5510),Watermelons (01221),France (250),2008,17280.1,"",p
Production (t) (5510),Watermelons (01221),France (250),2009,16458.3,"",p
Production (t) (5510),Watermelons (01221),France (250),2010,15761,"",-
Production (t) (5510),Watermelons (01221),France (250),2011,16919.1,"",-
Production (t) (5510),Watermelons (01221),France (250),2012,16147,"",-
Production (t) (5510),Watermelons (01221),France (250),2013,14150,"",q
Production (t) (5510),Watermelons (01221),France (250),2014,16115,"",q
Production (t) (5510),Watermelons (01221),France (250),2015,16406,"",q
Production (t) (5510),Watermelons (01221),France (250),2016,17085.8,"",q
Production (t) (5510),Watermelons (01221),France (250),2017,17447.4,"",q
Production (t) (5510),Watermelons (01221),France (250),2018,17660,"",h
Production (t) (5510),Watermelons (01221),France (250),2019,13110,"",h
Production (t) (5510),Watermelons (01221),France (250),2020,24820,"",h
Production (t) (5510),Watermelons (01221),France (250),2021,24170,"",h
Production (t) (5510),Watermelons (01221),France (250),2022,23770,"",h
Production (t) (5510),Watermelons (01221),France (250),2023,23510,"",h
Production (t) (5510),Watermelons (01221),Italy (380),1990,660544,"",-
Production (t) (5510),Watermelons (01221),Italy (380),1991,678475,"",-
Production (t) (5510),Watermelons (01221),Italy (380),1992,678453,"",-
Production (t) (5510),Watermelons (01221),Italy (380),1993,748316,"",-
Production (t) (5510),Watermelons (01221),Italy (380),1994,593927,"",-
Production (t) (5510),Watermelons (01221),Italy (380),1995,597272,"",-
Production (t) (5510),Watermelons (01221),Italy (380),1996,592300,T,-
Production (t) (5510),Watermelons (01221),Italy (380),1997,590000,T,-
Production (t) (5510),Watermelons (01221),Italy (380),1998,595000,T,-
Production (t) (5510),Watermelons (01221),Italy (380),1999,470905,"",-
Production (t) (5510),Watermelons (01221),Italy (380),2000,508407,"",-
Production (t) (5510),Watermelons (01221),Italy (380),2001,543499,"",-
Production (t) (5510),Watermelons (01221),Italy (380),2002,545148,"",-
Production (t) (5510),Watermelons (01221),Italy (380),2003,529001,"",-
Production (t) (5510),Watermelons (01221),Italy (380),2004,562909,"",-
Production (t) (5510),Watermelons (01221),Italy (380),2005,519463,"",-
Production (t) (5510),Watermelons (01221),Italy (380),2006,490247,"",-
Production (t) (5510),Watermelons (01221),Italy (380),2007,437512,"",-
Production (t) (5510),Watermelons (01221),Italy (380),2008,434602,"",-
Production (t) (5510),Watermelons (01221),Italy (380),2009,463306,"",-
Production (t) (5510),Watermelons (01221),Italy (380),2010,477858,"",-
Production (t) (5510),Watermelons (01221),Italy (380),2011,378220,"",-
Production (t) (5510),Watermelons (01221),Italy (380),2012,421364.7,"",q
Production (t) (5510),Watermelons (01221),Italy (380),2013,471193,"",q
Production (t) (5510),Watermelons (01221),Italy (380),2014,453233.3,"",q
Production (t) (5510),Watermelons (01221),Italy (380),2015,494533,"",q
Production (t) (5510),Watermelons (01221),Italy (380),2016,534000.5,"",q
Production (t) (5510),Watermelons (01221),Italy (380),2017,570762,"",q
Production (t) (5510),Watermelons (01221),Italy (380),2018,581560,"",h
Production (t) (5510),Watermelons (01221),Italy (380),2019,650420,"",h
Production (t) (5510),Watermelons (01221),Italy (380),2020,651860,"",h
Production (t) (5510),Watermelons (01221),Italy (380),2021,648190,"",h
Production (t) (5510),Watermelons (01221),Italy (380),2022,656700,"",h
Production (t) (5510),Watermelons (01221),Italy (380),2023,751570,"",h
Production (t) (5510),Cantaloupes and other melons (01229),France (250),1990,307510,"",-
Production (t) (5510),Cantaloupes and other melons (01229),France (250),1991,318090.4,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),1992,277200.9,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),1993,283367.8,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),1994,303133.5,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),1995,293932.8,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),1996,294089.2,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),1997,263561.6,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),1998,296633.1,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),1999,298978.2,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2000,292759.9,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2001,297511.3,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2002,283388,"",-
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2003,298328.9,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2004,291418,"",-
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2005,296974,"",-
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2006,293815,"",-
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2007,246973.7,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2008,278938,"",-
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2009,301195.6,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2010,290531.6,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2011,277192,"",p
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2012,294187,"",p
